"","bacteria_name","Gene.ID","EC.","HMMER","dbCAN_sub","DIAMOND","Signalp","Hits_number","AnotacionGH"
"24","Ba_Probio_M8","FELJDP_07300","3.2.1.78:15|3.2.1.78:7","GH5_8(44-290)","GH5_e22+CBM10_e0","CBM10+GH5_8","N",3,"GH5"
"25","Ba_Probio_M8","FELJDP_07330","-","GH13_3(322-539)","GH13_e41","GH13_3","N",3,"GH13"
"26","Ba_Probio_M8","FELJDP_07605","-","GH25(89-274)","GH25_e6","GH25","N",3,"GH25"
"27","Ba_Probio_M8","FELJDP_07610","-","GH25(149-335)","GH25_e248","GH25","N",3,"GH25"
"28","Ba_Probio_M8","FELJDP_07705","3.2.1.88:2","GH36(113-645)","GH36_e35","GH36","N",3,"GH36"
"29","Ba_Probio_M8","FELJDP_07770","3.2.1.21:6","GH3(76-307)","GH3_e91","GH3","N",3,"GH3"
"30","Ba_Probio_M8","FELJDP_07825","3.2.1.41:14|3.2.1.1:4|3.2.1.68:2|3.2.1.-:2|3.2.1.-:2|3.2.1.68:1|3.2.1.41:1","GH13_14(193-544)","CBM48_e14+GH13_e95","CBM48+GH13_14","N",3,"GH13"
"31","Ba_Probio_M8","FELJDP_07845","-","GH13(32-379)","GH13_e57","GH13_44","N",3,"GH13"
"32","Ba_Probio_M8","FELJDP_07850","2.4.1.25:4","GH77(192-715)","GH77_e2","GH77","N",3,"GH77"
"33","Ba_Probio_M8","FELJDP_07885","3.2.1.20:2","GH13_30(33-401)","GH13_e234","GH13_30","N",3,"GH13"
"34","Ba_Probio_M8","FELJDP_07935","3.2.1.185:2","GH127(6-577)","GH127_e0","GH127","N",3,"GH127"
"35","Ba_Probio_M8","FELJDP_07955","5.4.99.11:5|3.2.1.20:4|3.2.1.10:1|3.2.1.-:1|3.2.1.70:1","GH13_31(46-411)","GH13_e122","GH13_31","N",3,"GH13"
"36","Ba_Probio_M8","FELJDP_07995","3.2.1.22:8","GH36(29-683)","GH36_e2","GH36","N",3,"GH36"
"37","Ba_Probio_M8","FELJDP_06895","-","-","GH23_e487","GH23","N",2,"GH23"
"38","Ba_Probio_M8","FELJDP_07150","2.4.1.20:14|2.4.1.49:1","-","GH94_e12","GH94","N",2,"GH94"
"39","Ba_Probio_M8","FELJDP_07970","-","-","GH36_e44","GH36","N",2,"GH36"
"40","Ba_Probio_M8","FELJDP_08065","-","-","GH23_e314","GH0","N",2,"GH0"
"41","Bal_1316B","JKJGKE_00005","-","GH30_1(39-504)","GH30_e2","GH30_1","N",3,"GH30"
"42","Bal_1316B","JKJGKE_00010","3.2.1.-:1","GH42(15-382)","GH42_e0","GH42","N",3,"GH42"
"43","Bal_1316B","JKJGKE_00065","3.2.1.55:37","GH51(8-512)","GH51_e0","GH51","N",3,"GH51"
"44","Bal_1316B","JKJGKE_00425","2.4.1.7:2","GH13_18(35-379)","GH13_e144","GH13_18","N",3,"GH13"
"45","Bal_1316B","JKJGKE_00490","3.2.1.21:71|3.2.1.-:11|3.2.1.38:3|3.2.1.23:2|3.2.1.74:1","GH1(2-457)","GH1_e113","GH1","N",3,"GH1"
"46","Bal_1316B","JKJGKE_01085","3.2.1.23:6|3.2.1.31:2","GH2(35-1024)","GH2_e104","GH2","N",3,"GH2"
"47","Bal_1316B","JKJGKE_01610","2.4.1.25:4","GH77(190-697)","GH77_e2","GH77","N",3,"GH77"
"48","Bal_1316B","JKJGKE_01625","3.2.1.68:15|3.2.1.-:1","GH13_11(231-597)","GH13_e48","CBM48+GH13_11","N",3,"GH13"
"49","Bal_1316B","JKJGKE_02140","3.2.1.23:35","GH2(60-950)","GH2_e1","GH2","N",3,"GH2"
"50","Bal_1316B","JKJGKE_02175","3.2.1.23:18","GH42(28-400)","GH42_e28","GH42","N",3,"GH42"
"51","Bal_1316B","JKJGKE_02315","3.2.1.55:1","GH43_12(11-366)","GH43_e260","GH43_12","N",3,"GH43"
"52","Bal_1316B","JKJGKE_02340","3.2.1.37:21|3.2.1.55:3|3.2.1.-:1|-","GH43_11(3-304)+CBM91(332-539)","GH43_e285+CBM91_e24","GH43_11","N",3,"GH43"
"53","Bal_1316B","JKJGKE_02355","3.2.1.55:2|-","GH43_10(5-273)+CBM91(317-513)","GH43_e2+CBM91_e2","GH43_10","N",3,"GH43"
"54","Bal_1316B","JKJGKE_04355","3.2.1.1:5|3.2.1.116:1","GH13_32(7-115)","GH13_e240","GH13","N",3,"GH13"
"55","Bal_1316B","JKJGKE_04360","-","GH13_32(2-175)","GH13_e26","GH13","N",3,"GH13"
"56","Bal_1316B","JKJGKE_04495","3.2.1.1:3","GH13_5(37-374)","GH13_e25","GH13_5","N",3,"GH13"
"57","Bal_1316B","JKJGKE_04620","3.2.1.68:75|2.4.1.25:4|3.2.1.-:1|3.2.1.68:15|3.2.1.-:1","CBM48(3-92)+GH13_11(172-525)","CBM48_e3+GH13_e48","CBM48+GH13_11","N",3,"GH13"
"58","Bal_1316B","JKJGKE_04715","2.4.1.18:57|2.4.1.18:14","GH13_9(332-632)","CBM48_e2+GH13_e200","CBM48+GH13_9","N",3,"GH13"
"59","Bal_1316B","JKJGKE_04870","-","GH3(159-389)","GH3_e11","GH3","N",3,"GH3"
"60","Bal_1316B","JKJGKE_05975","3.2.1.26:6","GH32(57-367)","GH32_e28","GH32","N",3,"GH32"
"61","Bal_1316B","JKJGKE_06840","-","GH30(35-483)","GH30_e52","GH30","N",3,"GH30"
"62","Bal_1316B","JKJGKE_07005","3.2.1.78:15|3.2.1.78:7","GH5_8(44-290)","GH5_e22+CBM10_e0","CBM10+GH5_8","N",3,"GH5"
"63","Bal_1316B","JKJGKE_07035","-","GH13_3(322-539)","GH13_e41","GH13_3","N",3,"GH13"
"64","Bal_1316B","JKJGKE_07295","-","GH25(89-274)","GH25_e6","GH25","N",3,"GH25"
"65","Bal_1316B","JKJGKE_07300","-","GH25(149-335)","GH25_e248","GH25","N",3,"GH25"
"66","Bal_1316B","JKJGKE_07395","3.2.1.88:2","GH36(113-645)","GH36_e35","GH36","N",3,"GH36"
"67","Bal_1316B","JKJGKE_07460","3.2.1.21:6","GH3(76-307)","GH3_e91","GH3","N",3,"GH3"
"68","Bal_1316B","JKJGKE_07515","3.2.1.41:14|3.2.1.1:4|3.2.1.68:2|3.2.1.-:2|3.2.1.-:2|3.2.1.68:1|3.2.1.41:1","GH13_14(193-544)","CBM48_e14+GH13_e95","CBM48+GH13_14","N",3,"GH13"
"69","Bal_1316B","JKJGKE_07535","-","GH13(32-379)","GH13_e57","GH13_44","N",3,"GH13"
"70","Bal_1316B","JKJGKE_07540","2.4.1.25:4","GH77(192-715)","GH77_e2","GH77","N",3,"GH77"
"71","Bal_1316B","JKJGKE_07575","3.2.1.20:2","GH13_30(33-401)","GH13_e234","GH13_30","N",3,"GH13"
"72","Bal_1316B","JKJGKE_07630","3.2.1.185:2","GH127(6-577)","GH127_e0","GH127","N",3,"GH127"
"73","Bal_1316B","JKJGKE_07650","5.4.99.11:5|3.2.1.20:4|3.2.1.10:1|3.2.1.-:1|3.2.1.70:1","GH13_31(46-411)","GH13_e122","GH13_31","N",3,"GH13"
"74","Bal_1316B","JKJGKE_07690","3.2.1.22:8","GH36(29-683)","GH36_e2","GH36","N",3,"GH36"
"75","Bal_1316B","JKJGKE_08045","3.2.1.21:22|3.2.1.-:4|3.2.1.37:1|3.2.1.55:1|3.2.1.23:1|3.2.1.45:1","GH3(41-251)","GH3_e197","GH3","N",3,"GH3"
"76","Bal_1316B","JKJGKE_06610","-","-","GH23_e487","GH23","N",2,"GH23"
"77","Bal_1316B","JKJGKE_06855","2.4.1.20:14|2.4.1.49:1","-","GH94_e12","GH94","N",2,"GH94"
"78","Bal_1316B","JKJGKE_07665","-","-","GH36_e44","GH36","N",2,"GH36"
"79","Bal_1316B","JKJGKE_07760","-","-","GH23_e314","GH0","N",2,"GH0"
"80","Bal_1395B","BPPOCK_00005","-","GH30_1(39-504)","GH30_e2","GH30_1","N",3,"GH30"
"81","Bal_1395B","BPPOCK_00010","3.2.1.-:1","GH42(15-382)","GH42_e0","GH42","N",3,"GH42"
"82","Bal_1395B","BPPOCK_00065","3.2.1.55:37","GH51(8-512)","GH51_e0","GH51","N",3,"GH51"
"83","Bal_1395B","BPPOCK_00425","2.4.1.7:2","GH13_18(35-379)","GH13_e144","GH13_18","N",3,"GH13"
"84","Bal_1395B","BPPOCK_00490","3.2.1.21:71|3.2.1.-:11|3.2.1.38:3|3.2.1.23:2|3.2.1.74:1","GH1(2-457)","GH1_e113","GH1","N",3,"GH1"
"85","Bal_1395B","BPPOCK_01085","3.2.1.23:6|3.2.1.31:2","GH2(35-1024)","GH2_e104","GH2","N",3,"GH2"
"86","Bal_1395B","BPPOCK_01610","2.4.1.25:4","GH77(190-697)","GH77_e2","GH77","N",3,"GH77"
"87","Bal_1395B","BPPOCK_01625","3.2.1.68:15|3.2.1.-:1","GH13_11(231-597)","GH13_e48","CBM48+GH13_11","N",3,"GH13"
"88","Bal_1395B","BPPOCK_02140","3.2.1.23:35","GH2(60-950)","GH2_e1","GH2","N",3,"GH2"
"89","Bal_1395B","BPPOCK_02175","3.2.1.23:18","GH42(28-400)","GH42_e28","GH42","N",3,"GH42"
"90","Bal_1395B","BPPOCK_02315","3.2.1.55:1","GH43_12(11-366)","GH43_e260","GH43_12","N",3,"GH43"
"91","Bal_1395B","BPPOCK_02340","3.2.1.37:21|3.2.1.55:3|3.2.1.-:1|-","GH43_11(3-304)+CBM91(332-539)","GH43_e285+CBM91_e24","GH43_11","N",3,"GH43"
"92","Bal_1395B","BPPOCK_02355","3.2.1.55:2|-","GH43_10(5-273)+CBM91(317-513)","GH43_e2+CBM91_e2","GH43_10","N",3,"GH43"
"93","Bal_1395B","BPPOCK_04355","3.2.1.1:5|3.2.1.116:1","GH13_32(7-115)","GH13_e240","GH13","N",3,"GH13"
"94","Bal_1395B","BPPOCK_04360","-","GH13_32(2-175)","GH13_e26","GH13","N",3,"GH13"
"95","Bal_1395B","BPPOCK_04495","3.2.1.1:3","GH13_5(37-374)","GH13_e25","GH13_5","N",3,"GH13"
"96","Bal_1395B","BPPOCK_04620","3.2.1.68:75|2.4.1.25:4|3.2.1.-:1|3.2.1.68:15|3.2.1.-:1","CBM48(3-92)+GH13_11(172-525)","CBM48_e3+GH13_e48","CBM48+GH13_11","N",3,"GH13"
"97","Bal_1395B","BPPOCK_04715","2.4.1.18:57|2.4.1.18:14","GH13_9(332-632)","CBM48_e2+GH13_e200","CBM48+GH13_9","N",3,"GH13"
"98","Bal_1395B","BPPOCK_04870","-","GH3(159-389)","GH3_e11","GH3","N",3,"GH3"
"99","Bal_1395B","BPPOCK_05975","3.2.1.26:6","GH32(57-367)","GH32_e28","GH32","N",3,"GH32"
"100","Bal_1395B","BPPOCK_06845","-","GH30(35-483)","GH30_e52","GH30","N",3,"GH30"
"101","Bal_1395B","BPPOCK_07010","3.2.1.78:15|3.2.1.78:7","GH5_8(44-290)","GH5_e22+CBM10_e0","CBM10+GH5_8","N",3,"GH5"
"102","Bal_1395B","BPPOCK_07040","-","GH13_3(322-539)","GH13_e41","GH13_3","N",3,"GH13"
"103","Bal_1395B","BPPOCK_07300","-","GH25(89-274)","GH25_e6","GH25","N",3,"GH25"
"104","Bal_1395B","BPPOCK_07305","-","GH25(149-335)","GH25_e248","GH25","N",3,"GH25"
"105","Bal_1395B","BPPOCK_07400","3.2.1.88:2","GH36(113-645)","GH36_e35","GH36","N",3,"GH36"
"106","Bal_1395B","BPPOCK_07465","3.2.1.21:6","GH3(76-307)","GH3_e91","GH3","N",3,"GH3"
"107","Bal_1395B","BPPOCK_07520","3.2.1.41:14|3.2.1.1:4|3.2.1.68:2|3.2.1.-:2|3.2.1.-:2|3.2.1.68:1|3.2.1.41:1","GH13_14(193-544)","CBM48_e14+GH13_e95","CBM48+GH13_14","N",3,"GH13"
"108","Bal_1395B","BPPOCK_07540","-","GH13(32-379)","GH13_e57","GH13_44","N",3,"GH13"
"109","Bal_1395B","BPPOCK_07545","2.4.1.25:4","GH77(192-715)","GH77_e2","GH77","N",3,"GH77"
"110","Bal_1395B","BPPOCK_07580","3.2.1.20:2","GH13_30(33-401)","GH13_e234","GH13_30","N",3,"GH13"
"111","Bal_1395B","BPPOCK_07635","3.2.1.185:2","GH127(6-577)","GH127_e0","GH127","N",3,"GH127"
"112","Bal_1395B","BPPOCK_07655","5.4.99.11:5|3.2.1.20:4|3.2.1.10:1|3.2.1.-:1|3.2.1.70:1","GH13_31(46-411)","GH13_e122","GH13_31","N",3,"GH13"
"113","Bal_1395B","BPPOCK_07695","3.2.1.22:8","GH36(29-683)","GH36_e2","GH36","N",3,"GH36"
"114","Bal_1395B","BPPOCK_08050","3.2.1.21:22|3.2.1.-:4|3.2.1.37:1|3.2.1.55:1|3.2.1.23:1|3.2.1.45:1","GH3(41-251)","GH3_e197","GH3","N",3,"GH3"
"115","Bal_1395B","BPPOCK_06615","-","-","GH23_e487","GH23","N",2,"GH23"
"116","Bal_1395B","BPPOCK_06860","2.4.1.20:14|2.4.1.49:1","-","GH94_e12","GH94","N",2,"GH94"
"117","Bal_1395B","BPPOCK_07670","-","-","GH36_e44","GH36","N",2,"GH36"
"118","Bal_1395B","BPPOCK_07765","-","-","GH23_e314","GH0","N",2,"GH0"
"119","Bal_1528B","KDJHIJ_00005","3.2.1.78:2|3.2.1.78:3|-","GH26(41-357)+CBM23(538-715)+CBM23(741-911)","GH26_e52+CBM23_e4+CBM23_e0","CBM23+GH26","N",3,"GH26"
"120","Bal_1528B","KDJHIJ_00165","3.2.1.55:37","GH51(8-512)","GH51_e0","GH51","N",3,"GH51"
"121","Bal_1528B","KDJHIJ_00530","2.4.1.7:2","GH13_18(35-379)","GH13_e144","GH13_18","N",3,"GH13"
"122","Bal_1528B","KDJHIJ_00595","3.2.1.21:71|3.2.1.-:11|3.2.1.38:3|3.2.1.23:2|3.2.1.74:1","GH1(2-457)","GH1_e113","GH1","N",3,"GH1"
"123","Bal_1528B","KDJHIJ_00630","-","GH2(8-789)","GH2_e79","GH2","N",3,"GH2"
"124","Bal_1528B","KDJHIJ_00650","3.2.1.22:8","GH36(9-673)","GH36_e2","GH36","N",3,"GH36"
"125","Bal_1528B","KDJHIJ_01205","3.2.1.23:6|3.2.1.31:2","GH2(35-1024)","GH2_e104","GH2","N",3,"GH2"
"126","Bal_1528B","KDJHIJ_01780","2.4.1.25:4","GH77(190-697)","GH77_e2","GH77","N",3,"GH77"
"127","Bal_1528B","KDJHIJ_01795","3.2.1.68:15|3.2.1.-:1","GH13_11(231-597)","GH13_e48","CBM48+GH13_11","N",3,"GH13"
"128","Bal_1528B","KDJHIJ_02310","3.2.1.23:35","GH2(60-950)","GH2_e1","GH2","N",3,"GH2"
"129","Bal_1528B","KDJHIJ_02345","3.2.1.23:18","GH42(28-399)","GH42_e28","GH42","N",3,"GH42"
"130","Bal_1528B","KDJHIJ_02485","3.2.1.55:1","GH43_12(11-366)","GH43_e260","GH43_12","N",3,"GH43"
"131","Bal_1528B","KDJHIJ_02510","3.2.1.37:21|3.2.1.55:3|3.2.1.-:1|-","GH43_11(3-304)+CBM91(332-539)","GH43_e285+CBM91_e24","GH43_11","N",3,"GH43"
"132","Bal_1528B","KDJHIJ_02525","3.2.1.55:2|-","GH43_10(5-273)+CBM91(317-513)","GH43_e2+CBM91_e2","GH43_10","N",3,"GH43"
"133","Bal_1528B","KDJHIJ_04610","3.2.1.1:5|3.2.1.116:1","GH13_32(7-115)","GH13_e240","GH13","N",3,"GH13"
"134","Bal_1528B","KDJHIJ_04615","-","GH13_32(2-175)","GH13_e26","GH13","N",3,"GH13"
"135","Bal_1528B","KDJHIJ_04720","3.2.1.1:3","GH13_5(37-374)","GH13_e25","GH13_5","N",3,"GH13"
"136","Bal_1528B","KDJHIJ_04845","3.2.1.68:75|2.4.1.25:4|3.2.1.-:1|3.2.1.68:15|3.2.1.-:1","CBM48(3-92)+GH13_11(172-525)","CBM48_e3+GH13_e48","CBM48+GH13_11","N",3,"GH13"
"137","Bal_1528B","KDJHIJ_04940","2.4.1.18:57|2.4.1.18:14","GH13_9(332-632)","CBM48_e2+GH13_e200","CBM48+GH13_9","N",3,"GH13"
"138","Bal_1528B","KDJHIJ_05095","-","GH3(159-389)","GH3_e11","GH3","N",3,"GH3"
"139","Bal_1528B","KDJHIJ_05665","-|-","GH25(3-112)","GH25_e250+CBM50_e767","CBM50+GH25","N",3,"GH25"
"140","Bal_1528B","KDJHIJ_06175","3.2.1.26:6","GH32(57-367)","GH32_e28","GH32","N",3,"GH32"
"141","Bal_1528B","KDJHIJ_06430","-","GH5_2(85-325)","GH5_e174","GH5_2","N",3,"GH5"
"142","Bal_1528B","KDJHIJ_06895","3.2.1.23:18","GH42(23-394)","GH42_e28","GH42","N",3,"GH42"
"143","Bal_1528B","KDJHIJ_07005","-","GH30(35-483)","GH30_e52","GH30","N",3,"GH30"
"144","Bal_1528B","KDJHIJ_07120","3.2.1.78:15|3.2.1.78:7","GH5_8(44-290)","GH5_e22+CBM10_e0","CBM10+GH5_8","N",3,"GH5"
"145","Bal_1528B","KDJHIJ_07150","-","GH13_3(322-539)","GH13_e41","GH13_3","N",3,"GH13"
"146","Bal_1528B","KDJHIJ_07415","-","GH25(90-275)","GH25_e6","GH25","N",3,"GH25"
"147","Bal_1528B","KDJHIJ_07500","3.2.1.88:2","GH36(113-645)","GH36_e35","GH36","N",3,"GH36"
"148","Bal_1528B","KDJHIJ_07570","3.2.1.21:6","GH3(76-307)","GH3_e91","GH3","N",3,"GH3"
"149","Bal_1528B","KDJHIJ_07625","3.2.1.41:14|3.2.1.1:4|3.2.1.68:2|3.2.1.-:2|3.2.1.-:2|3.2.1.68:1|3.2.1.41:1","GH13_14(193-544)","CBM48_e14+GH13_e95","CBM48+GH13_14","N",3,"GH13"
"150","Bal_1528B","KDJHIJ_07645","-","GH13(32-379)","GH13_e57","GH13_44","N",3,"GH13"
"151","Bal_1528B","KDJHIJ_07650","2.4.1.25:4","GH77(192-715)","GH77_e2","GH77","N",3,"GH77"
"152","Bal_1528B","KDJHIJ_07680","3.2.1.20:2","GH13_30(33-401)","GH13_e234","GH13_30","N",3,"GH13"
"153","Bal_1528B","KDJHIJ_07740","3.2.1.185:2","GH127(4-575)","GH127_e0","GH127","N",3,"GH127"
"154","Bal_1528B","KDJHIJ_07760","5.4.99.11:5|3.2.1.20:4|3.2.1.10:1|3.2.1.-:1|3.2.1.70:1","GH13_31(46-411)","GH13_e122","GH13_31","N",3,"GH13"
"155","Bal_1528B","KDJHIJ_07800","3.2.1.22:8","GH36(29-683)","GH36_e2","GH36","N",3,"GH36"
"156","Bal_1528B","KDJHIJ_08260","-|-|3.2.1.17:4","GH25(6-179)","GH25_e169+CBM50_e433+CBM50_e758","-","N",2,"GH25"
"157","Bal_1528B","KDJHIJ_08290","3.2.1.8:2|3.2.1.8:2","GH10(73-408)+CBM9(604-779)","GH10_e137+CBM9_e2","CBM9+GH10","N",3,"GH10"
"158","Bal_1528B","KDJHIJ_06775","-","-","GH23_e487","GH23","N",2,"GH23"
"159","Bal_1528B","KDJHIJ_07020","2.4.1.20:14|2.4.1.49:1","-","GH94_e12","GH94","N",2,"GH94"
"160","Bal_1528B","KDJHIJ_07775","-","-","GH36_e44","GH36","N",2,"GH36"
"161","Bal_1528B","KDJHIJ_07880","-","-","GH23_e314","GH0","N",2,"GH0"
"162","Bal_1802B","HONKND_00005","-","GH30_1(39-504)","GH30_e2","GH30_1","N",3,"GH30"
"163","Bal_1802B","HONKND_00010","3.2.1.-:1","GH42(15-382)","GH42_e0","GH42","N",3,"GH42"
"164","Bal_1802B","HONKND_00065","3.2.1.55:37","GH51(8-512)","GH51_e0","GH51","N",3,"GH51"
"165","Bal_1802B","HONKND_00425","2.4.1.7:2","GH13_18(35-379)","GH13_e144","GH13_18","N",3,"GH13"
"166","Bal_1802B","HONKND_00490","3.2.1.21:71|3.2.1.-:11|3.2.1.38:3|3.2.1.23:2|3.2.1.74:1","GH1(2-457)","GH1_e113","GH1","N",3,"GH1"
"167","Bal_1802B","HONKND_01085","3.2.1.23:6|3.2.1.31:2","GH2(35-1024)","GH2_e104","GH2","N",3,"GH2"
"168","Bal_1802B","HONKND_01610","2.4.1.25:4","GH77(190-697)","GH77_e2","GH77","N",3,"GH77"
"169","Bal_1802B","HONKND_01625","3.2.1.68:15|3.2.1.-:1","GH13_11(231-597)","GH13_e48","CBM48+GH13_11","N",3,"GH13"
"170","Bal_1802B","HONKND_02135","3.2.1.23:35","GH2(60-950)","GH2_e1","GH2","N",3,"GH2"
"171","Bal_1802B","HONKND_02170","3.2.1.23:18","GH42(28-400)","GH42_e28","GH42","N",3,"GH42"
"172","Bal_1802B","HONKND_02310","3.2.1.55:1","GH43_12(11-366)","GH43_e260","GH43_12","N",3,"GH43"
"173","Bal_1802B","HONKND_02335","3.2.1.37:21|3.2.1.55:3|3.2.1.-:1|-","GH43_11(3-304)+CBM91(332-539)","GH43_e285+CBM91_e24","GH43_11","N",3,"GH43"
"174","Bal_1802B","HONKND_02350","3.2.1.55:2|-","GH43_10(5-273)+CBM91(317-513)","GH43_e2+CBM91_e2","GH43_10","N",3,"GH43"
"175","Bal_1802B","HONKND_04350","3.2.1.1:5|3.2.1.116:1","GH13_32(7-115)","GH13_e240","GH13","N",3,"GH13"
"176","Bal_1802B","HONKND_04355","-","GH13_32(2-175)","GH13_e26","GH13","N",3,"GH13"
"177","Bal_1802B","HONKND_04490","3.2.1.1:3","GH13_5(37-374)","GH13_e25","GH13_5","N",3,"GH13"
"178","Bal_1802B","HONKND_04615","3.2.1.68:75|2.4.1.25:4|3.2.1.-:1|3.2.1.68:15|3.2.1.-:1","CBM48(3-92)+GH13_11(172-525)","CBM48_e3+GH13_e48","CBM48+GH13_11","N",3,"GH13"
"179","Bal_1802B","HONKND_04710","2.4.1.18:57|2.4.1.18:14","GH13_9(332-632)","CBM48_e2+GH13_e200","CBM48+GH13_9","N",3,"GH13"
"180","Bal_1802B","HONKND_04865","-","GH3(159-389)","GH3_e11","GH3","N",3,"GH3"
"181","Bal_1802B","HONKND_05970","3.2.1.26:6","GH32(57-367)","GH32_e28","GH32","N",3,"GH32"
"182","Bal_1802B","HONKND_06850","-","GH30(35-483)","GH30_e52","GH30","N",3,"GH30"
"183","Bal_1802B","HONKND_07015","3.2.1.78:15|3.2.1.78:7","GH5_8(44-290)","GH5_e22+CBM10_e0","CBM10+GH5_8","N",3,"GH5"
"184","Bal_1802B","HONKND_07045","-","GH13_3(322-539)","GH13_e41","GH13_3","N",3,"GH13"
"185","Bal_1802B","HONKND_07305","-","GH25(89-274)","GH25_e6","GH25","N",3,"GH25"
"186","Bal_1802B","HONKND_07310","-","GH25(149-335)","GH25_e248","GH25","N",3,"GH25"
"187","Bal_1802B","HONKND_07405","3.2.1.88:2","GH36(113-645)","GH36_e35","GH36","N",3,"GH36"
"188","Bal_1802B","HONKND_07470","3.2.1.21:6","GH3(76-307)","GH3_e91","GH3","N",3,"GH3"
"189","Bal_1802B","HONKND_07525","3.2.1.41:14|3.2.1.1:4|3.2.1.68:2|3.2.1.-:2|3.2.1.-:2|3.2.1.68:1|3.2.1.41:1","GH13_14(193-544)","CBM48_e14+GH13_e95","CBM48+GH13_14","N",3,"GH13"
"190","Bal_1802B","HONKND_07545","-","GH13(32-379)","GH13_e57","GH13_44","N",3,"GH13"
"191","Bal_1802B","HONKND_07550","2.4.1.25:4","GH77(192-715)","GH77_e2","GH77","N",3,"GH77"
"192","Bal_1802B","HONKND_07585","3.2.1.20:2","GH13_30(33-401)","GH13_e234","GH13_30","N",3,"GH13"
"193","Bal_1802B","HONKND_07640","3.2.1.185:2","GH127(6-577)","GH127_e0","GH127","N",3,"GH127"
"194","Bal_1802B","HONKND_07660","5.4.99.11:5|3.2.1.20:4|3.2.1.10:1|3.2.1.-:1|3.2.1.70:1","GH13_31(46-411)","GH13_e122","GH13_31","N",3,"GH13"
"195","Bal_1802B","HONKND_07700","3.2.1.22:8","GH36(29-683)","GH36_e2","GH36","N",3,"GH36"
